[2026-04-06 06:31:55] Switch connected: DPID=1
[2026-04-06 06:31:55] Switch connected: DPID=2
[2026-04-06 06:41:45] Switch connected: DPID=1
[2026-04-06 06:41:45] Switch connected: DPID=2
[2026-04-06 06:43:26] ⚠️  ALERT | Switch 1 | Port 1 (s1-eth1) | Reason: ADDED | State: DOWN
[2026-04-06 06:43:26] ✅  INFO | Switch 1 | Port 1 (s1-eth1) | Reason: MODIFIED | State: UP
[2026-04-06 06:43:26] ⚠️  ALERT | Switch 2 | Port 1 (s2-eth1) | Reason: ADDED | State: DOWN
[2026-04-06 06:43:26] ✅  INFO | Switch 2 | Port 1 (s2-eth1) | Reason: MODIFIED | State: UP
[2026-04-06 06:43:27] ✅  INFO | Switch 1 | Port 1 (s1-eth1) | Reason: MODIFIED | State: UP
[2026-04-06 06:43:27] ⚠️  ALERT | Switch 1 | Port 1 (s1-eth1) | Reason: MODIFIED | State: DOWN
[2026-04-06 06:43:27] ✅  INFO | Switch 2 | Port 1 (s2-eth1) | Reason: DELETED | State: UP
[2026-04-06 06:43:27] ⚠️  ALERT | Switch 1 | Port 1 (s1-eth1) | Reason: DELETED | State: DOWN
[2026-04-06 06:44:33] Switch connected: DPID=1
[2026-04-06 06:44:33] Switch connected: DPID=2
[2026-04-06 06:45:50] ✅  INFO | Switch 1 | Port 2 (s1-eth2) | Reason: MODIFIED | State: UP
[2026-04-06 06:45:50] ⚠️  ALERT | Switch 1 | Port 2 (s1-eth2) | Reason: MODIFIED | State: DOWN
[2026-04-06 06:45:50] ✅  INFO | Switch 2 | Port 2 (s2-eth2) | Reason: MODIFIED | State: UP
[2026-04-06 06:45:50] ⚠️  ALERT | Switch 2 | Port 2 (s2-eth2) | Reason: MODIFIED | State: DOWN
[2026-04-06 06:45:50] ⚠️  ALERT | Switch 2 | Port 2 (s2-eth2) | Reason: MODIFIED | State: DOWN
[2026-04-06 06:46:01] ⚠️  ALERT | Switch 1 | Port 2 (s1-eth2) | Reason: MODIFIED | State: DOWN
[2026-04-06 06:46:01] ✅  INFO | Switch 1 | Port 2 (s1-eth2) | Reason: MODIFIED | State: UP
[2026-04-06 06:46:01] ✅  INFO | Switch 2 | Port 2 (s2-eth2) | Reason: MODIFIED | State: UP
[2026-04-06 06:46:58] ✅  INFO | Switch 1 | Port 1 (s1-eth1) | Reason: MODIFIED | State: UP
[2026-04-06 06:46:58] ✅  INFO | Switch 1 | Port 1 (s1-eth1) | Reason: DELETED | State: UP
[2026-04-06 06:46:58] ✅  INFO | Switch 2 | Port 1 (s2-eth1) | Reason: DELETED | State: UP
[2026-04-06 06:46:58] ✅  INFO | Switch 1 | Port 2 (s1-eth2) | Reason: MODIFIED | State: UP
[2026-04-06 06:46:58] ⚠️  ALERT | Switch 1 | Port 2 (s1-eth2) | Reason: MODIFIED | State: DOWN
[2026-04-06 06:46:58] ✅  INFO | Switch 2 | Port 2 (s2-eth2) | Reason: MODIFIED | State: UP
[2026-04-06 06:46:58] ✅  INFO | Switch 2 | Port 2 (s2-eth2) | Reason: DELETED | State: UP
[2026-04-06 06:46:58] ⚠️  ALERT | Switch 1 | Port 2 (s1-eth2) | Reason: DELETED | State: DOWN
